,tail,head,existing_f,fullname,fromname,toname,start,end,line,path_codes,dist,geometry
674,761,144,Bike Lane,E 22ND AVE,N YORK ST,N WASHINGTON ST,POINT (-104.9709 39.7495),POINT (-104.9647 39.7495),"LINESTRING (-104.9709 39.7495, -104.9647 39.7495)",0,820.51,"LINESTRING (-104.9709 39.7495, -104.9647 39.7495)"
675,144,222,Bike Lane,E 22ND AVE,N YORK ST,N WASHINGTON ST,POINT (-104.9647 39.7495),POINT (-104.9622 39.7495),"LINESTRING (-104.9647 39.7495, -104.9622 39.7495)",0,330.86,"LINESTRING (-104.9647 39.7495, -104.9622 39.7495)"
676,222,762,Bike Lane,E 22ND AVE,N YORK ST,N WASHINGTON ST,POINT (-104.9622 39.7495),POINT (-104.9598 39.7495),"LINESTRING (-104.9622 39.7495, -104.9598 39.7495)",0,317.62,"LINESTRING (-104.9622 39.7495, -104.9598 39.7495)"
677,763,178,Bike Lane,N STUART ST,SLOANS LAKE PARK RD 1/W 23RD AVE,W 20TH AVE,POINT (-105.0428 39.7488),POINT (-105.0428 39.7512),"LINESTRING (-105.0428 39.7488, -105.0428 39.7512)",0,411.38,"LINESTRING (-105.0428 39.7488, -105.0428 39.7512)"
678,764,2,Bike Lane,N MARIPOSA ST,W COLFAX AVE,W 8TH AVE,POINT (-105.0028 39.7289),POINT (-105.0028 39.7337),"LINESTRING (-105.0028 39.7289, -105.0028 39.7337)",0,823.16,"LINESTRING (-105.0028 39.7289, -105.0028 39.7337)"
679,2,765,Bike Lane,N MARIPOSA ST,W COLFAX AVE,W 8TH AVE,POINT (-105.0028 39.7337),POINT (-105.0028 39.7369),"LINESTRING (-105.0028 39.7337, -105.0028 39.7369)",0,548.73,"LINESTRING (-105.0028 39.7337, -105.0028 39.7369)"
680,765,766,Bike Lane,N MARIPOSA ST,W COLFAX AVE,W 8TH AVE,POINT (-105.0028 39.7369),POINT (-105.0028 39.7385),"LINESTRING (-105.0028 39.7369, -105.0028 39.7385)",0,274.35,"LINESTRING (-105.0028 39.7369, -105.0028 39.7385)"
681,766,767,Bike Lane,N MARIPOSA ST,W COLFAX AVE,W 8TH AVE,POINT (-105.0028 39.7385),POINT (-105.0028 39.7401),"LINESTRING (-105.0028 39.7385, -105.0028 39.7401)",0,274.34,"LINESTRING (-105.0028 39.7385, -105.0028 39.7401)"
682,768,769,Bike Lane,E MARTIN LUTHER KING BLVD,N ELIZABETH ST/E 31ST AVENUE DR,N PONTIAC ST,POINT (-104.9549 39.7619),POINT (-104.9536 39.7619),"LINESTRING (-104.9549 39.7619, -104.9536 39.7619)",0,171.98,"LINESTRING (-104.9549 39.7619, -104.9536 39.7619)"
683,769,770,Bike Lane,E MARTIN LUTHER KING BLVD,N ELIZABETH ST/E 31ST AVENUE DR,N PONTIAC ST,POINT (-104.9536 39.7619),POINT (-104.9512 39.7619),"LINESTRING (-104.9536 39.7619, -104.9512 39.7619)",0,317.5,"LINESTRING (-104.9536 39.7619, -104.9512 39.7619)"
684,770,91,Bike Lane,E MARTIN LUTHER KING BLVD,N ELIZABETH ST/E 31ST AVENUE DR,N PONTIAC ST,POINT (-104.9512 39.7619),POINT (-104.9499 39.7619),"LINESTRING (-104.9512 39.7619, -104.9499 39.7619)",0,171.98,"LINESTRING (-104.9512 39.7619, -104.9499 39.7619)"
685,91,771,Bike Lane,E MARTIN LUTHER KING BLVD,N ELIZABETH ST/E 31ST AVENUE DR,N PONTIAC ST,POINT (-104.9499 39.7619),POINT (-104.9406 39.7619),"LINESTRING (-104.9499 39.7619, -104.9406 39.7619)",0,1230.32,"LINESTRING (-104.9499 39.7619, -104.9406 39.7619)"
686,771,772,Bike Lane,E MARTIN LUTHER KING BLVD,N ELIZABETH ST/E 31ST AVENUE DR,N PONTIAC ST,POINT (-104.9406 39.7619),POINT (-104.9356 39.7619),"LINESTRING (-104.9406 39.7619, -104.9356 39.7619)",0,661.48,"LINESTRING (-104.9406 39.7619, -104.9356 39.7619)"
687,772,773,Bike Lane,E MARTIN LUTHER KING BLVD,N ELIZABETH ST/E 31ST AVENUE DR,N PONTIAC ST,POINT (-104.9356 39.7619),POINT (-104.935 39.7619),"LINESTRING (-104.9356 39.7619, -104.935 39.7619)",0,79.38,"LINESTRING (-104.9356 39.7619, -104.935 39.7619)"
688,773,109,Bike Lane,E MARTIN LUTHER KING BLVD,N ELIZABETH ST/E 31ST AVENUE DR,N PONTIAC ST,POINT (-104.935 39.7619),POINT (-104.9317 39.7619),"LINESTRING (-104.935 39.7619, -104.9317 39.7619)",0,436.58,"LINESTRING (-104.935 39.7619, -104.9317 39.7619)"
689,109,774,Bike Lane,E MARTIN LUTHER KING BLVD,N ELIZABETH ST/E 31ST AVENUE DR,N PONTIAC ST,POINT (-104.9317 39.7619),POINT (-104.9294 39.7619),"LINESTRING (-104.9317 39.7619, -104.9294 39.7619)",0,304.29,"LINESTRING (-104.9317 39.7619, -104.9294 39.7619)"
690,774,775,Bike Lane,E MARTIN LUTHER KING BLVD,N ELIZABETH ST/E 31ST AVENUE DR,N PONTIAC ST,POINT (-104.9294 39.7619),POINT (-104.9258 39.7619),"LINESTRING (-104.9294 39.7619, -104.9258 39.7619)",0,476.28,"LINESTRING (-104.9294 39.7619, -104.9258 39.7619)"
691,775,776,Bike Lane,E MARTIN LUTHER KING BLVD,N ELIZABETH ST/E 31ST AVENUE DR,N PONTIAC ST,POINT (-104.9258 39.7619),POINT (-104.9223 39.7619),"LINESTRING (-104.9258 39.7619, -104.9223 39.7619)",0,463.05,"LINESTRING (-104.9258 39.7619, -104.9223 39.7619)"
692,776,777,Bike Lane,E MARTIN LUTHER KING BLVD,N ELIZABETH ST/E 31ST AVENUE DR,N PONTIAC ST,POINT (-104.9223 39.7619),POINT (-104.9199 39.7619),"LINESTRING (-104.9223 39.7619, -104.9199 39.7619)",0,317.52,"LINESTRING (-104.9223 39.7619, -104.9199 39.7619)"
693,777,735,Bike Lane,E MARTIN LUTHER KING BLVD,N ELIZABETH ST/E 31ST AVENUE DR,N PONTIAC ST,POINT (-104.9199 39.7619),POINT (-104.9176 39.7619),"LINESTRING (-104.9199 39.7619, -104.9176 39.7619)",0,304.3,"LINESTRING (-104.9199 39.7619, -104.9176 39.7619)"
694,735,778,Bike Lane,E MARTIN LUTHER KING BLVD,N ELIZABETH ST/E 31ST AVENUE DR,N PONTIAC ST,POINT (-104.9176 39.7619),POINT (-104.9152 39.7619),"LINESTRING (-104.9176 39.7619, -104.9152 39.7619)",0,317.53,"LINESTRING (-104.9176 39.7619, -104.9152 39.7619)"
695,778,779,Bike Lane,E MARTIN LUTHER KING BLVD,N ELIZABETH ST/E 31ST AVENUE DR,N PONTIAC ST,POINT (-104.9152 39.7619),POINT (-104.9126 39.7619),"LINESTRING (-104.9152 39.7619, -104.9126 39.7619)",0,343.99,"LINESTRING (-104.9152 39.7619, -104.9126 39.7619)"
696,779,780,Bike Lane,E MARTIN LUTHER KING BLVD,N ELIZABETH ST/E 31ST AVENUE DR,N PONTIAC ST,POINT (-104.9126 39.7619),POINT (-104.9106 39.7619),"LINESTRING (-104.9126 39.7619, -104.9106 39.7619)",0,264.61,"LINESTRING (-104.9126 39.7619, -104.9106 39.7619)"
697,780,781,Bike Lane,E MARTIN LUTHER KING BLVD,N ELIZABETH ST/E 31ST AVENUE DR,N PONTIAC ST,POINT (-104.9106 39.7619),POINT (-104.9082 39.7619),"LINESTRING (-104.9106 39.7619, -104.9082 39.7619)",0,317.53,"LINESTRING (-104.9106 39.7619, -104.9082 39.7619)"
698,781,212,Bike Lane,E MARTIN LUTHER KING BLVD,N ELIZABETH ST/E 31ST AVENUE DR,N PONTIAC ST,POINT (-104.9082 39.7619),POINT (-104.9058 39.7619),"LINESTRING (-104.9082 39.7619, -104.9058 39.7619)",0,317.54,"LINESTRING (-104.9082 39.7619, -104.9058 39.7619)"
699,31,782,Bike Lane,E BUCHTEL BLVD,S FRANKLIN ST,E BUCHTEL BLVD/E FLORIDA AVE,POINT (-104.9744 39.6894),POINT (-104.9739 39.6893),"LINESTRING (-104.9744 39.6894, -104.9739 39.6893)",0,68.49,"LINESTRING (-104.9744 39.6894, -104.9739 39.6893)"
700,782,32,Bike Lane,E BUCHTEL BLVD,S FRANKLIN ST,E BUCHTEL BLVD/E FLORIDA AVE,POINT (-104.9739 39.6893),POINT (-104.971 39.6879),"LINESTRING (-104.9739 39.6893, -104.971 39.6879)",0,453.5,"LINESTRING (-104.9739 39.6893, -104.971 39.6879)"
701,46,576,Bike Lane,E 16TH AVE,CITY PARK ESPLANADE,N BROADWAY,POINT (-104.987599999855 39.7417500001716),POINT (-104.9849 39.7417),"LINESTRING (-104.987599999855 39.7417500001716, -104.9849 39.7417)",0,357.5,"LINESTRING (-104.987599999855 39.7417500001716, -104.9849 39.7417)"
702,576,159,Bike Lane,E 16TH AVE,CITY PARK ESPLANADE,N BROADWAY,POINT (-104.9849 39.7417),POINT (-104.9684 39.7416),"LINESTRING (-104.9849 39.7417, -104.9684 39.7416)",0,2184.23,"LINESTRING (-104.9849 39.7417, -104.9684 39.7416)"
703,159,198,Bike Lane,E 16TH AVE,CITY PARK ESPLANADE,N BROADWAY,POINT (-104.9684 39.7416),POINT (-104.9568 39.7416),"LINESTRING (-104.9684 39.7416, -104.9568 39.7416)",0,1535.6,"LINESTRING (-104.9684 39.7416, -104.9568 39.7416)"
704,783,675,Bike Lane,S TAMARAC DR,E HAMPDEN CIR,E QUINCY AVE,POINT (-104.8978 39.6491),POINT (-104.8939 39.6434),"LINESTRING (-104.8978 39.6491, -104.8939 39.6434)",0,1108.03,"LINESTRING (-104.8978 39.6491, -104.8939 39.6434)"
705,675,784,Bike Lane,S TAMARAC DR,E HAMPDEN CIR,E QUINCY AVE,POINT (-104.8939 39.6434),POINT (-104.8927 39.6387),"LINESTRING (-104.8939 39.6434, -104.8927 39.6387)",0,823.29,"LINESTRING (-104.8939 39.6434, -104.8927 39.6387)"
706,785,786,Bike Lane,E 8TH AVE,N UINTA WAY,N QUEBEC ST,POINT (-104.8988 39.7299),POINT (-104.8923 39.7284),"LINESTRING (-104.8988 39.7299, -104.8923 39.7284)",0,898.63,"LINESTRING (-104.8988 39.7299, -104.8923 39.7284)"
707,310,191,Bike Lane,E 23RD AVE,MEDIAN END,MEDIAN,POINT (-104.957 39.751),POINT (-104.95205 39.7512000000107),"LINESTRING (-104.957 39.751, -104.95205 39.7512000000107)",0,655.97,"LINESTRING (-104.957 39.751, -104.95205 39.7512000000107)"
708,334,787,Trail,HIGH LINE CANAL TRAIL,CHERRY CREEK TRAIL,PARKER RD,POINT (-104.872953961558 39.6622032023104),POINT (-104.8761 39.6699),"LINESTRING (-104.872953961558 39.6622032023104, -104.8761 39.6699)",6,1386.53,"LINESTRING (-104.872953961558 39.6622032023104, -104.8761 39.6699)"
709,787,788,Trail,HIGH LINE CANAL TRAIL,CHERRY CREEK TRAIL,PARKER RD,POINT (-104.8761 39.6699),POINT (-104.877311103471 39.6716500022054),"LINESTRING (-104.8761 39.6699, -104.877311103471 39.6716500022054)",6,340.87,"LINESTRING (-104.8761 39.6699, -104.877311103471 39.6716500022054)"
710,788,789,Trail,HIGH LINE CANAL TRAIL,CHERRY CREEK TRAIL,PARKER RD,POINT (-104.877311103471 39.6716500022054),POINT (-104.879033333108 39.6733333334),"LINESTRING (-104.877311103471 39.6716500022054, -104.879033333108 39.6733333334)",6,368.56,"LINESTRING (-104.877311103471 39.6716500022054, -104.879033333108 39.6733333334)"
711,789,790,Trail,HIGH LINE CANAL TRAIL,CHERRY CREEK TRAIL,PARKER RD,POINT (-104.879033333108 39.6733333334),POINT (-104.881487499579 39.6751250001548),"LINESTRING (-104.879033333108 39.6733333334, -104.881487499579 39.6751250001548)",6,448.08,"LINESTRING (-104.879033333108 39.6733333334, -104.881487499579 39.6751250001548)"
712,790,791,Trail,HIGH LINE CANAL TRAIL,CHERRY CREEK TRAIL,PARKER RD,POINT (-104.881487499579 39.6751250001548),POINT (-104.883455551376 39.6768833345684),"LINESTRING (-104.881487499579 39.6751250001548, -104.883455551376 39.6768833345684)",6,399.25,"LINESTRING (-104.881487499579 39.6751250001548, -104.883455551376 39.6768833345684)"
713,791,792,Trail,HIGH LINE CANAL TRAIL,CHERRY CREEK TRAIL,PARKER RD,POINT (-104.883455551376 39.6768833345684),POINT (-104.88455999971 39.6788000000446),"LINESTRING (-104.883455551376 39.6768833345684, -104.88455999971 39.6788000000446)",6,360.31,"LINESTRING (-104.883455551376 39.6768833345684, -104.88455999971 39.6788000000446)"
714,792,793,Trail,HIGH LINE CANAL TRAIL,CHERRY CREEK TRAIL,PARKER RD,POINT (-104.88455999971 39.6788000000446),POINT (-104.885066666506 39.6796333333715),"LINESTRING (-104.88455999971 39.6788000000446, -104.885066666506 39.6796333333715)",6,158.11,"LINESTRING (-104.88455999971 39.6788000000446, -104.885066666506 39.6796333333715)"
715,793,794,Trail,HIGH LINE CANAL TRAIL,CHERRY CREEK TRAIL,PARKER RD,POINT (-104.885066666506 39.6796333333715),POINT (-104.885849999964 39.6808500000107),"LINESTRING (-104.885066666506 39.6796333333715, -104.885849999964 39.6808500000107)",6,233.36,"LINESTRING (-104.885066666506 39.6796333333715, -104.885849999964 39.6808500000107)"
716,794,795,Trail,HIGH LINE CANAL TRAIL,CHERRY CREEK TRAIL,PARKER RD,POINT (-104.885849999964 39.6808500000107),POINT (-104.888885423678 39.6836418317603),"LINESTRING (-104.885849999964 39.6808500000107, -104.888885423678 39.6836418317603)",6,626.11,"LINESTRING (-104.885849999964 39.6808500000107, -104.888885423678 39.6836418317603)"
717,795,242,Trail,HIGH LINE CANAL TRAIL,CHERRY CREEK TRAIL,PARKER RD,POINT (-104.888885423678 39.6836418317603),POINT (-104.894449984651 39.6889733367406),"LINESTRING (-104.888885423678 39.6836418317603, -104.894449984651 39.6889733367406)",6,1175.97,"LINESTRING (-104.888885423678 39.6836418317603, -104.894449984651 39.6889733367406)"
718,242,796,Trail,HIGH LINE CANAL TRAIL,CHERRY CREEK TRAIL,PARKER RD,POINT (-104.894449984651 39.6889733367406),POINT (-104.896108331748 39.6933666668272),"LINESTRING (-104.894449984651 39.6889733367406, -104.896108331748 39.6933666668272)",6,785.66,"LINESTRING (-104.894449984651 39.6889733367406, -104.896108331748 39.6933666668272)"
719,796,797,Trail,HIGH LINE CANAL TRAIL,CHERRY CREEK TRAIL,PARKER RD,POINT (-104.896108331748 39.6933666668272),POINT (-104.897374999085 39.6958250002332),"LINESTRING (-104.896108331748 39.6933666668272, -104.897374999085 39.6958250002332)",6,454.22,"LINESTRING (-104.896108331748 39.6933666668272, -104.897374999085 39.6958250002332)"
720,798,799,Shared Use Path,CUERNAVACA PARK OFF-STREET CONNECTOR,N JASON ST,SOUTH PLATTE RIVER TRAIL,POINT (-105.002958527678 39.7610993044901),POINT (-104.998049999891 39.7674500000536),"LINESTRING (-105.002958527678 39.7610993044901, -104.998049999891 39.7674500000536)",5,1267.3,"LINESTRING (-105.002958527678 39.7610993044901, -104.998049999891 39.7674500000536)"
721,799,800,Shared Use Path,CUERNAVACA PARK OFF-STREET CONNECTOR,N JASON ST,SOUTH PLATTE RIVER TRAIL,POINT (-104.998049999891 39.7674500000536),POINT (-104.998750000218 39.7672000000965),"LINESTRING (-104.998049999891 39.7674500000536, -104.998750000218 39.7672000000965)",5,102.01,"LINESTRING (-104.998049999891 39.7674500000536, -104.998750000218 39.7672000000965)"
722,800,801,Shared Use Path,CUERNAVACA PARK OFF-STREET CONNECTOR,N JASON ST,SOUTH PLATTE RIVER TRAIL,POINT (-104.998750000218 39.7672000000965),POINT (-104.9994 39.7672),"LINESTRING (-104.998750000218 39.7672000000965, -104.9994 39.7672)",5,85.96,"LINESTRING (-104.998750000218 39.7672000000965, -104.9994 39.7672)"
723,399,802,Shared Roadway,N JACKSON ST,E 40TH AVE,E 35TH AVE,POINT (-104.9428 39.7657),POINT (-104.9428 39.7711),"LINESTRING (-104.9428 39.7657, -104.9428 39.7711)",4,925.53,"LINESTRING (-104.9428 39.7657, -104.9428 39.7711)"
724,261,224,Shared Roadway,CHEESMAN PARK 3,CHEESMAN PARK 2,CHEESMAN PARK 5,POINT (-104.9655 39.7297),POINT (-104.9664 39.7297),"LINESTRING (-104.9655 39.7297, -104.9664 39.7297)",4,119.19,"LINESTRING (-104.9655 39.7297, -104.9664 39.7297)"
725,665,751,Shared Roadway,W YALE AVE,S LOWELL BLVD,S SHERIDAN BLVD,POINT (-105.035 39.6677),POINT (-105.0418 39.6677),"LINESTRING (-105.035 39.6677, -105.0418 39.6677)",4,902.28,"LINESTRING (-105.035 39.6677, -105.0418 39.6677)"
726,803,804,Bike Lane,E 19TH AVE,N GRANT ST,N EMERSON ST,POINT (-104.9836 39.7462),POINT (-104.9775 39.7462),"LINESTRING (-104.9836 39.7462, -104.9775 39.7462)",0,807.34,"LINESTRING (-104.9836 39.7462, -104.9775 39.7462)"
727,237,724,Shared Roadway,N ADAMS ST,E COLFAX AVE,E 16TH AVE,POINT (-104.9486 39.7402000001716),POINT (-104.9488 39.742),"LINESTRING (-104.9486 39.7402000001716, -104.9488 39.742)",4,309.8,"LINESTRING (-104.9486 39.7402000001716, -104.9488 39.742)"
728,251,361,Shared Roadway,N KRAMERIA ST,E 12TH AVE,E 6TH AVENUE PKWY,POINT (-104.9162 39.72505),POINT (-104.9162 39.7281),"LINESTRING (-104.9162 39.72505, -104.9162 39.7281)",4,523.22,"LINESTRING (-104.9162 39.72505, -104.9162 39.7281)"
729,361,12,Shared Roadway,N KRAMERIA ST,E 12TH AVE,E 6TH AVENUE PKWY,POINT (-104.9162 39.7281),POINT (-104.9162 39.7351),"LINESTRING (-104.9162 39.7281, -104.9162 39.7351)",4,1200.72,"LINESTRING (-104.9162 39.7281, -104.9162 39.7351)"
730,82,245,Shared Roadway,S TEJON ST,W CEDAR AVE,W BYERS PL,POINT (-105.011 39.713),POINT (-105.011 39.7122),"LINESTRING (-105.011 39.713, -105.011 39.7122)",4,137.24,"LINESTRING (-105.011 39.713, -105.011 39.7122)"
731,542,322,Shared Roadway,N CHERRY ST,E MONTVIEW BLVD,E 12TH AVE,POINT (-104.9338 39.7347),POINT (-104.9338 39.7474),"LINESTRING (-104.9338 39.7347, -104.9338 39.7474)",4,2177.94,"LINESTRING (-104.9338 39.7347, -104.9338 39.7474)"
732,349,387,Shared Roadway,S QUEBEC ST,E ALAMEDA AVE,PRIVATE RD/S QUEBEC ST,POINT (-104.9035 39.7093588235294),POINT (-104.9035 39.6975),"LINESTRING (-104.9035 39.7093588235294, -104.9035 39.6975)",4,2035.38,"LINESTRING (-104.9035 39.7093588235294, -104.9035 39.6975)"
733,162,806,Shared Roadway,S SAINT PAUL ST,S STEELE ST/E COLORADO AVE,E VASSAR AVE,POINT (-104.9508 39.6813),POINT (-104.9508 39.6765),"LINESTRING (-104.9508 39.6813, -104.9508 39.6765)",4,824.14,"LINESTRING (-104.9508 39.6813, -104.9508 39.6765)"
734,806,55,Shared Roadway,S SAINT PAUL ST,S STEELE ST/E COLORADO AVE,E VASSAR AVE,POINT (-104.9508 39.6765),POINT (-104.9508 39.6748),"LINESTRING (-104.9508 39.6765, -104.9508 39.6748)",4,291.9,"LINESTRING (-104.9508 39.6765, -104.9508 39.6748)"
735,733,639,Shared Roadway,S HOBART WAY,S HARLAN WAY,W BATES AVE/NMCHG,POINT (-105.0607 39.6628),POINT (-105.05965 39.6617000000107),"LINESTRING (-105.0607 39.6628, -105.05965 39.6617000000107)",4,234.71,"LINESTRING (-105.0607 39.6628, -105.05965 39.6617000000107)"
736,40,807,Shared Roadway,N YOSEMITE ST,E COLFAX AVE,E 11TH AVE,POINT (-104.8847 39.7328),POINT (-104.8847 39.7356),"LINESTRING (-104.8847 39.7328, -104.8847 39.7356)",4,480.31,"LINESTRING (-104.8847 39.7328, -104.8847 39.7356)"
737,16,808,Shared Roadway,COURT PL,W COLFAX AVE/N CHEROKEE ST,16TH ST,POINT (-104.9911 39.7406),POINT (-104.9899 39.7416),"LINESTRING (-104.9911 39.7406, -104.9899 39.7416)",4,233.73,"LINESTRING (-104.9911 39.7406, -104.9899 39.7416)"
738,808,809,Shared Roadway,COURT PL,W COLFAX AVE/N CHEROKEE ST,16TH ST,POINT (-104.9899 39.7416),POINT (-104.9887 39.7425),"LINESTRING (-104.9899 39.7416, -104.9887 39.7425)",4,221.46,"LINESTRING (-104.9899 39.7416, -104.9887 39.7425)"
739,738,117,Shared Roadway,S VALLEJO ST,W OHIO AVE,W KENTUCKY AVE,POINT (-105.0133 39.7026),POINT (-105.0141 39.7),"LINESTRING (-105.0133 39.7026, -105.0141 39.7)",4,458.56,"LINESTRING (-105.0133 39.7026, -105.0141 39.7)"
740,644,811,Shared Roadway,S SHERMAN ST,E HARVARD AVE,E YALE AVE,POINT (-104.9852 39.6713),POINT (-104.9852 39.6677),"LINESTRING (-104.9852 39.6713, -104.9852 39.6677)",4,618.16,"LINESTRING (-104.9852 39.6713, -104.9852 39.6677)"
741,812,813,Shared Roadway,S DAHLIA ST,E MISSISSIPPI AVE,E WARREN AVE,POINT (-104.9317 39.6893),POINT (-104.9317 39.6821),"LINESTRING (-104.9317 39.6893, -104.9317 39.6821)",4,1236.1,"LINESTRING (-104.9317 39.6893, -104.9317 39.6821)"
742,814,815,Shared Roadway,N BELO HORIZONTE PKWY,N BELO HORIZONTE PKWY,E 1ST AVE,POINT (-104.934450000072 39.7187000000107),POINT (-104.9344 39.7197),"LINESTRING (-104.934450000072 39.7187000000107, -104.9344 39.7197)",4,171.69,"LINESTRING (-104.934450000072 39.7187000000107, -104.9344 39.7197)"
743,815,77,Shared Roadway,N BELO HORIZONTE PKWY,N BELO HORIZONTE PKWY,E 1ST AVE,POINT (-104.9344 39.7197),POINT (-104.9347 39.7202),"LINESTRING (-104.9344 39.7197, -104.9347 39.7202)",4,94.54,"LINESTRING (-104.9344 39.7197, -104.9347 39.7202)"
744,649,816,Shared Use Path,E NORTHFIELD BLVD,N DALLAS ST,N CENTRAL PARK BLVD,POINT (-104.880619999733 39.7850800000584),POINT (-104.881999999009 39.7857818189308),"LINESTRING (-104.880619999733 39.7850800000584, -104.881999999009 39.7857818189308)",5,218.52,"LINESTRING (-104.880619999733 39.7850800000584, -104.881999999009 39.7857818189308)"
745,816,817,Shared Use Path,E NORTHFIELD BLVD,N DALLAS ST,N CENTRAL PARK BLVD,POINT (-104.881999999009 39.7857818189308),POINT (-104.8831 39.7858),"LINESTRING (-104.881999999009 39.7857818189308, -104.8831 39.7858)",5,145.46,"LINESTRING (-104.881999999009 39.7857818189308, -104.8831 39.7858)"
746,817,818,Shared Use Path,E NORTHFIELD BLVD,N DALLAS ST,N CENTRAL PARK BLVD,POINT (-104.8831 39.7858),POINT (-104.883 39.7843),"LINESTRING (-104.8831 39.7858, -104.883 39.7843)",5,257.39,"LINESTRING (-104.8831 39.7858, -104.883 39.7843)"
747,818,650,Shared Use Path,E NORTHFIELD BLVD,N DALLAS ST,N CENTRAL PARK BLVD,POINT (-104.883 39.7843),POINT (-104.8828 39.7809),"LINESTRING (-104.883 39.7843, -104.8828 39.7809)",5,583.27,"LINESTRING (-104.883 39.7843, -104.8828 39.7809)"
748,425,255,Buffered Bike Lane,CHAMPA ST,E MARTIN LUTHER KING BLVD,19TH ST,POINT (-104.9903 39.7493),POINT (-104.9879 39.7512),"LINESTRING (-104.9903 39.7493, -104.9879 39.7512)",1,454.93,"LINESTRING (-104.9903 39.7493, -104.9879 39.7512)"
749,255,221,Buffered Bike Lane,CHAMPA ST,E MARTIN LUTHER KING BLVD,19TH ST,POINT (-104.9879 39.7512),POINT (-104.9874 39.7516),"LINESTRING (-104.9879 39.7512, -104.9874 39.7516)",1,95.29,"LINESTRING (-104.9879 39.7512, -104.9874 39.7516)"
750,572,819,Shared Roadway,N KNOX CT,W 14TH AVE,W 8TH AVE,POINT (-105.0323 39.7293000001716),POINT (-105.0321 39.7329),"LINESTRING (-105.0323 39.7293000001716, -105.0321 39.7329)",4,617.88,"LINESTRING (-105.0323 39.7293000001716, -105.0321 39.7329)"
751,819,820,Shared Roadway,N KNOX CT,W 14TH AVE,W 8TH AVE,POINT (-105.0321 39.7329),POINT (-105.0323 39.7385),"LINESTRING (-105.0321 39.7329, -105.0323 39.7385)",4,960.55,"LINESTRING (-105.0321 39.7329, -105.0323 39.7385)"
752,172,821,Bike Lane,W 46TH AVE,N TENNYSON ST,N SHERIDAN BLVD,POINT (-105.044 39.7802),POINT (-105.0532 39.7802),"LINESTRING (-105.044 39.7802, -105.0532 39.7802)",0,1215.97,"LINESTRING (-105.044 39.7802, -105.0532 39.7802)"
753,414,674,Shared Use Path,N FEDERAL BLVD,W 2ND AVE,W 2ND AVE,POINT (-105.0251 39.7198),POINT (-105.0251 39.7203),"LINESTRING (-105.0251 39.7198, -105.0251 39.7203)",5,85.76,"LINESTRING (-105.0251 39.7198, -105.0251 39.7203)"
754,654,822,Bike Lane,E UNION AVE,S YOSEMITE ST,S MONACO ST/PRIVATE RD/TRAFFIC SIGNAL/SUBDIVISION RD,POINT (-104.907 39.6282),POINT (-104.9038 39.6285),"LINESTRING (-104.907 39.6282, -104.9038 39.6285)",0,428.45,"LINESTRING (-104.907 39.6282, -104.9038 39.6285)"
755,822,655,Bike Lane,E UNION AVE,S YOSEMITE ST,S MONACO ST/PRIVATE RD/TRAFFIC SIGNAL/SUBDIVISION RD,POINT (-104.9038 39.6285),POINT (-104.8998 39.6281),"LINESTRING (-104.9038 39.6285, -104.8998 39.6281)",0,536.11,"LINESTRING (-104.9038 39.6285, -104.8998 39.6281)"
756,737,416,Buffered Bike Lane,W 1ST AVE,N LOWELL BLVD,N SHERIDAN BLVD,POINT (-105.0397 39.7181),POINT (-105.040200051706 39.7182490287655),"LINESTRING (-105.0397 39.7181, -105.040200051706 39.7182490287655)",1,71.0,"LINESTRING (-105.0397 39.7181, -105.040200051706 39.7182490287655)"
757,416,823,Buffered Bike Lane,W 1ST AVE,N LOWELL BLVD,N SHERIDAN BLVD,POINT (-105.040200051706 39.7182490287655),POINT (-105.0533 39.7184),"LINESTRING (-105.040200051706 39.7182490287655, -105.0533 39.7184)",1,1735.32,"LINESTRING (-105.040200051706 39.7182490287655, -105.0533 39.7184)"
758,824,825,Shared Roadway,N CROWN BLVD,E 56TH AVE,E ALBROOK DR,POINT (-104.82 39.7983),POINT (-104.8398 39.7793),"LINESTRING (-104.82 39.7983, -104.8398 39.7793)",4,4178.01,"LINESTRING (-104.82 39.7983, -104.8398 39.7793)"
759,429,828,Bike Lane,WATER ST,PRIVATE RD/TRAFFIC SIGNAL BTWN 7TH ST AND  N SPEER BLVD/STR,N ALCOTT ST,POINT (-105.0176 39.7512),POINT (-105.0162 39.7514),"LINESTRING (-105.0176 39.7512, -105.0162 39.7514)",0,188.39,"LINESTRING (-105.0176 39.7512, -105.0162 39.7514)"
760,341,829,Bike Lane,W 7TH AVE,BGN,N BRYANT ST,POINT (-105.0162 39.7275),POINT (-105.0187 39.7275),"LINESTRING (-105.0162 39.7275, -105.0187 39.7275)",0,331.06,"LINESTRING (-105.0162 39.7275, -105.0187 39.7275)"
761,749,830,Bike Lane,E EXPOSITION AVE,S JACKSON ST,S COLUMBINE ST,POINT (-104.95 39.7038),POINT (-104.9444 39.7038),"LINESTRING (-104.95 39.7038, -104.9444 39.7038)",0,742.32,"LINESTRING (-104.95 39.7038, -104.9444 39.7038)"
